predictor,target_style,fixed_comparator,paired_init_groups,mean_adaptive_minus_fixed_completion_s,mean_adaptive_minus_fixed_separation_m,no_excess_binary_failures,dominance_status,population_id,source_locator
B0,assertive,fixed_aggressive,5,-0.5000000000000003,-0.0031561143843151563,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B0;target_style=assertive;fixed_comparator=fixed_aggressive
B0,assertive,fixed_conservative,5,-0.3200000000000003,-0.022809068549144884,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B0;target_style=assertive;fixed_comparator=fixed_conservative
B0,assertive,fixed_medium,5,-0.45000000000000034,0.01358945362649846,True,dominates,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B0;target_style=assertive;fixed_comparator=fixed_medium
B0,reactive,fixed_aggressive,5,0.030000000000000072,-0.010714664959273246,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B0;target_style=reactive;fixed_comparator=fixed_aggressive
B0,reactive,fixed_conservative,5,0.25,-0.008088738114868942,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B0;target_style=reactive;fixed_comparator=fixed_conservative
B0,reactive,fixed_medium,5,-0.17999999999999972,-0.008440729720593643,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B0;target_style=reactive;fixed_comparator=fixed_medium
B1,assertive,fixed_aggressive,5,0.5299999999999997,-0.015086291591613187,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B1;target_style=assertive;fixed_comparator=fixed_aggressive
B1,assertive,fixed_conservative,5,0.43999999999999984,-0.00326849899957673,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B1;target_style=assertive;fixed_comparator=fixed_conservative
B1,assertive,fixed_medium,5,-0.4400000000000002,-0.0002965824496902414,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B1;target_style=assertive;fixed_comparator=fixed_medium
B1,reactive,fixed_aggressive,5,-0.1399999999999995,0.0005198319909938797,True,dominates,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B1;target_style=reactive;fixed_comparator=fixed_aggressive
B1,reactive,fixed_conservative,5,-0.41999999999999993,-0.0018559087058101832,True,does_not_dominate,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B1;target_style=reactive;fixed_comparator=fixed_conservative
B1,reactive,fixed_medium,5,-0.1400000000000002,0.0005976419383577402,True,dominates,F2_r3_predictor_risk,docs/paper/generated/distinction_v1/08_corrected_closed_loop/r3_final/synthesis/table_r3_h4_dominance.csv::predictor=B1;target_style=reactive;fixed_comparator=fixed_medium
